timestamp,P_grid_mw,P_flex_exec_mw,P_IT_load_mw,P_HVAC_load_mw,P_total_dc_load_mw,Queue_mwh_end,SoC_ESD_mwh_end,SoC_Z1_mwh_end,SoC_Z2_mwh_end,SoC_Z3_mwh_end,SoC_Z4_mwh_end,P_ESD_c_mw,P_ESD_d_mw,P_Z_c_total_mw,P_Z_d_total_mw,grid_cost_eur,delay_penalty_eur,total_cost_eur,price_eur_per_mwh,cop
2025-06-19 15:00:00,17.363113534782617,2.239932105,7.466440349999999,1.3966731847826186,8.863113534782618,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,6.0,0.0,2.5,0.0,1577.0916023643051,0.0,1577.0916023643051,90.83,5.345875063221818
2025-06-19 16:00:00,10.864683185029465,2.128189732,7.093965774,1.270717411029466,8.364683185029467,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,-0.0,0.0,2.5,0.0,1042.9009389309783,0.0,1042.9009389309783,95.99,5.582646237807395
2025-06-19 17:00:00,10.87547092160558,2.137396168,7.124653894,1.250817027605578,8.375470921605578,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,-0.0,0.0,2.5,0.0,1049.8092080625865,0.0,1049.8092080625865,96.53,5.6960000837521605
2025-06-19 18:00:00,11.194250716009606,2.217783699,7.3926123299999995,1.3016383860096061,8.694250716009606,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,0.0,0.0,2.5,0.0,1280.2864543900187,0.0,1280.2864543900187,114.37,5.679467054335506
2025-06-19 19:00:00,4.333804793324486,2.295105731,7.650352436,1.2772023573244857,8.927554793324486,0.0,11.789473684210527,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.59375,578.2595735732862,0.0,578.2595735732862,133.43,5.98992978060747
2025-06-19 20:00:00,2.9603545970506113,1.0910100999999992,5.994123549999999,0.9662310470506122,6.960354597050611,1.0103242360000007,7.578947368421054,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.0,385.20134016822556,10.103242360000007,395.3045825282256,130.12,6.2036130678028405
2025-06-19 21:00:00,2.1022819495068963,0.0,4.722833366,0.7794485835068989,5.502281949506899,3.0343956780000005,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,3.4000000000000017,0.0,0.0,265.7915068761569,30.343956780000006,296.1354636561569,126.43,6.059198086871881
2025-06-19 22:00:00,11.6103941429908,5.124076975,10.0,1.6103941429908006,11.6103941429908,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,1259.3794526902122,0.0,1259.3794526902122,108.47,6.209659941651393
2025-06-19 23:00:00,8.54543885209265,2.211245897,7.370819658,1.1746191940926505,8.545438852092651,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,928.4619312798665,0.0,928.4619312798665,108.65,6.275071695634672
2025-06-20 00:00:00,8.7266168168085,2.252540321,7.508467738,1.218149078808501,8.726616816808502,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,880.6029029841457,0.0,880.6029029841457,100.91,6.163833202865614
2025-06-20 01:00:00,9.76872302456537,2.351471711,7.838239035999999,1.2989050411969463,9.137144077196945,0.0,4.600000000000001,1.0,4.0,3.2302631578947363,4.0,0.6315789473684226,0.0,0.0,0.0,923.7304492029014,0.0,923.7304492029014,94.56,6.034497355385602
2025-06-20 02:00:00,14.23481831233683,2.126504166,7.088347219,1.146471093336832,8.234818312336833,0.0,10.3,1.0,4.0,3.2302631578947363,4.0,5.999999999999999,0.0,0.0,0.0,1312.877292946826,0.0,1312.877292946826,92.23,6.182752674879218
2025-06-20 03:00:00,17.385314803835858,2.12616505,7.087216834,1.1402032329937524,8.227420066993753,0.0,16.0,1.0,4.0,3.2302631578947363,4.0,6.0,0.0,3.1578947368421053,0.0,1602.5783186175895,0.0,1602.5783186175895,92.18,6.215748762079535
2025-06-20 04:00:00,10.600344377301163,1.911054065,6.3701802160000005,1.0722694244590563,7.442449640459056,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,-0.0,0.0,3.1578947368421053,0.0,1013.6049293575372,0.0,1013.6049293575372,95.62,5.940839187141479
2025-06-20 05:00:00,9.733971744355909,1.857680169,6.19226723,1.0417045143559096,7.233971744355909,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,-0.0,0.0,2.5,0.0,970.282303477397,0.0,970.282303477397,99.68,5.944360559701236
2025-06-20 06:00:00,6.923424577000063,1.774063651,5.913545503,1.009879074000062,6.923424577000062,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,794.2552674734471,0.0,794.2552674734471,114.72,5.85569664254637
2025-06-20 07:00:00,4.027196815700803,1.899138965,6.330463217999999,1.0967335977008048,7.427196815700804,0.0,12.421052631578947,1.625,4.0,3.2302631578947363,4.0,0.0,3.400000000000001,0.0,0.0,463.81225726426146,0.0,463.81225726426146,115.17,5.772106582009705
2025-06-20 08:00:00,3.1697336228699267,1.970905375,6.569684583,1.193799039869926,7.763483622869926,0.0,8.210526315789473,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.59375,394.8854147371355,0.0,394.8854147371355,124.58,5.503174624529619
2025-06-20 09:00:00,1.74273928880047,0.0,4.857286053,0.8854532358004695,5.74273928880047,2.081694023,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.0,211.88224273236114,20.81694023,232.69918296236114,121.58,5.485649446646276
2025-06-20 10:00:00,5.943475513381144,0.0,5.035631844,0.9078436693811442,5.943475513381144,4.239821956,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,682.0732499156202,42.39821956,724.4714694756202,114.76,5.5468050434637854
2025-06-20 11:00:00,6.139116937533841,0.0,5.177472642,0.9616442955338422,6.139116937533842,6.458738803,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,653.0178686454748,64.58738803,717.6052566754747,106.37,5.383978947356834
2025-06-20 12:00:00,9.811871136389898,3.153494792000001,8.25894315,1.5529279863898966,9.811871136389897,5.493293306999999,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,935.0713192979573,54.93293306999999,990.0042523679573,95.3,5.318304018204751
2025-06-20 13:00:00,11.875697476009478,4.935503897,10.0,1.8756974760094771,11.875697476009478,2.728287739999999,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,995.5397194138745,27.28287739999999,1022.8225968138745,83.83,5.33135013929585
2025-06-20 14:00:00,17.842040198253763,4.909801417999999,10.0,1.8420401982537622,11.842040198253763,0.0,9.7,1.0,4.0,3.2302631578947363,4.0,6.0,0.0,0.0,0.0,1402.3843595827457,0.0,1402.3843595827457,78.6,5.4287631776331
2025-06-20 15:00:00,18.155665926590096,2.272438251,7.5747941700000005,1.4229770197479907,8.997771189747992,0.0,15.399999999999999,1.0,4.0,3.2302631578947363,4.0,6.0,0.0,3.1578947368421053,0.0,1358.0438113089392,0.0,1358.0438113089392,74.8,5.323202036910966
2025-06-20 16:00:00,12.781341801339465,2.295121406,7.650404686,1.341463431128937,8.991868117128938,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,0.6315789473684226,0.0,3.1578947368421053,0.0,1054.5885120285193,0.0,1054.5885120285193,82.51,5.703028877620346
