timestamp,price_eur_mwh,critical_load_mw,flexible_load_mw,shifted_flexible_load_mw,dc_total_load_mw,dc_room_temp_c,action,charged_mwh,discharged_mwh,battery_soc,grid_import_mwh,total_power_mw,cost_eur,cum_cost_eur
2025-07-04 02:00:00,80.24,5.04081195,2.160347978,2.060347978,7.1011599279999995,30.119999999999997,charge,13.635302180000004,0.0,98.56470502500001,20.736462108000005,20.736462108000005,1663.8937195459202,2856401.1772985095
2025-07-04 03:00:00,82.7,5.34219875,2.28951375,2.1895137499999997,7.531712499999999,30.119999999999997,charge,0.5509212999999988,0.0,99.942008275,8.082633799999998,8.082633799999998,668.4338152599998,2857069.6111137695
2025-07-04 04:00:00,87.4,5.09740847,2.18460363,2.0846036299999997,7.1820121,30.119999999999997,idle,0.0,0.0,99.942008275,7.1820121,7.1820121,627.70785754,2857697.3189713093
2025-07-04 05:00:00,100.61,4.968705736,2.129445316,2.029445316,6.998151052000001,30.119999999999997,idle,0.0,0.0,99.942008275,6.998151052000001,6.998151052000001,704.0839773417201,2858401.402948651
2025-07-04 06:00:00,100.27,4.856080296,2.08117727,1.9811772699999999,6.837257566,30.119999999999997,idle,0.0,0.0,99.942008275,6.837257566,6.837257566,685.57181614282,2859086.9747647936
2025-07-04 07:00:00,87.01,4.571798336,1.959342144,1.859342144,6.43114048,30.119999999999997,idle,0.0,0.0,99.942008275,6.43114048,6.43114048,559.5735331648,2859646.5482979584
2025-07-04 08:00:00,66.91,4.716249005,2.021249574,1.921249574,6.637498579,30.119999999999997,charge,0.02225944999999996,0.0,99.9976569,6.659758029,6.659758029,445.60440972039,2860092.1527076787
2025-07-04 09:00:00,38.19,4.677213612,2.004520119,1.9045201189999998,6.581733731,30.119999999999997,charge,0.0008993699999990667,0.0,99.999905325,6.582633100999999,6.582633100999999,251.39075812718994,2860343.5434658057
2025-07-04 10:00:00,21.3,3.86915434,1.658209003,1.558209003,5.427363343,30.119999999999997,charge,3.634000000118931e-05,0.0,99.999996175,5.427399683000001,5.427399683000001,115.60361324790003,2860459.147079054
2025-07-04 11:00:00,10.11,4.150509437,1.778789759,1.6787897589999998,5.829299196,30.119999999999997,charge,1.4700000008360803e-06,0.0,99.99999985000001,5.829300666000001,5.829300666000001,58.934229733260004,2860518.081308787
2025-07-04 12:00:00,7.02,4.26392119,1.827394796,1.727394796,5.991315986,30.119999999999997,charge,5.99999978589949e-08,0.0,100.0,5.991316045999998,5.991316045999998,42.05903864291998,2860560.14034743
2025-07-04 13:00:00,7.23,4.330798707,1.856056589,1.756056589,6.0868552959999995,30.119999999999997,charge,0.0,0.0,100.0,6.0868552959999995,6.0868552959999995,44.00796379008,2860604.14831122
2025-07-04 14:00:00,17.43,4.504566933,1.930528686,1.8305286859999998,6.3350956190000005,30.119999999999997,charge,0.0,0.0,100.0,6.3350956190000005,6.3350956190000005,110.42071663917001,2860714.5690278593
2025-07-04 15:00:00,46.68,4.62294106,1.981260454,1.881260454,6.504201514,30.119999999999997,charge,0.0,0.0,100.0,6.504201514,6.504201514,303.61612667352,2861018.1851545325
2025-07-04 16:00:00,78.18,4.854913005,2.080677002,1.9806770019999997,6.835590007,30.119999999999997,charge,0.0,0.0,100.0,6.835590007,6.835590007,534.4064267472601,2861552.59158128
2025-07-04 17:00:00,94.21,4.7980597,2.0563113,1.9563112999999999,6.754370999999999,30.119999999999997,idle,0.0,0.0,100.0,6.754370999999999,6.754370999999999,636.3292919099998,2862188.92087319
2025-07-04 18:00:00,102.46,5.198167065,2.227785885,2.1277858849999998,7.32595295,30.119999999999997,idle,0.0,0.0,100.0,7.32595295,7.32595295,750.617139257,2862939.538012447
2025-07-04 19:00:00,102.11,4.850690019,2.078867151,1.9788671509999998,6.829557169999999,30.119999999999997,idle,0.0,0.0,100.0,6.829557169999999,6.829557169999999,697.3660826286999,2863636.9040950756
2025-07-04 20:00:00,101.89,5.772691662,2.474010712,2.374010712,8.146702374,30.119999999999997,idle,0.0,0.0,100.0,8.146702374,8.146702374,830.06750488686,2864466.9715999626
2025-07-04 21:00:00,85.99,5.457594313,2.338968991,2.238968991,7.6965633040000005,30.119999999999997,idle,0.0,0.0,100.0,7.6965633040000005,7.6965633040000005,661.82747851096,2865128.7990784734
2025-07-04 22:00:00,72.73,5.314791791,2.27776791,2.17776791,7.492559701,30.119999999999997,charge,0.0,0.0,100.0,7.492559701,7.492559701,544.9338670537301,2865673.732945527
2025-07-04 23:00:00,58.41,4.930984917,2.11327925,2.01327925,6.944264167,30.119999999999997,charge,0.0,0.0,100.0,6.944264167,6.944264167,405.61446999446997,2866079.3474155213
2025-07-05 00:00:00,43.73,5.618860533,2.408083086,2.308083086,7.926943619,30.119999999999997,charge,0.0,0.0,100.0,7.926943619,7.926943619,346.64524445886997,2866425.99265998
2025-07-05 01:00:00,35.22,5.471191063,2.34479617,2.24479617,7.715987233,30.119999999999997,charge,0.0,0.0,100.0,7.715987233,7.715987233,271.75707034626,2866697.7497303262
2025-07-05 02:00:00,32.85,4.744902755,2.033529752,1.933529752,6.678432507,30.119999999999997,charge,0.0,0.0,100.0,6.678432507,6.678432507,219.38650785495003,2866917.136238181
2025-07-05 03:00:00,30.46,4.347489975,1.863209989,1.763209989,6.110699964,30.119999999999997,charge,0.0,0.0,100.0,6.110699964,6.110699964,186.13192090344,2867103.2681590845
2025-07-05 04:00:00,28.27,4.31970991,1.851304247,1.751304247,6.0710141570000005,30.119999999999997,charge,0.0,0.0,100.0,6.0710141570000005,6.0710141570000005,171.62757021839002,2867274.895729303
